source|text|created_at
Twitter for iPhone|Why is the NFL getting massive tax breaks while at the same time disrespecting our Anthem, Flag and Country? Change tax law!|10-10-2017 10:13:47
Twitter for iPhone|RT @IvankaTrump: .@realDonaldTrump stock market rally is close to becoming the greatest in 85 years https://t.co/5WlZa82Mij|10-10-2017 02:31:49
Twitter for iPhone|We have just begun! https://t.co/x8pSdEB2Ur|10-10-2017 02:30:46
Twitter for iPhone|A big salute to Jerry Jones, owner of the Dallas Cowboys, who will BENCH players who disrespect our Flag."Stand for Anthem or sit for game!"|10-10-2017 01:51:32
Twitter for iPhone|"President Donald J. Trump Proclaims October 9, 2017, as #ColumbusDay" https://t.co/cbQRst4lN4|10-09-2017 18:35:04
Twitter for iPhone|The trip by @VP Pence was long planned. He is receiving great praise for leaving game after the players showed such disrespect for country!|10-09-2017 11:05:13
Twitter for iPhone|Our country has been unsuccessfully dealing with North Korea for 25 years, giving billions of dollars &amp; getting nothing. Policy didn't work!|10-09-2017 10:50:34
Twitter for iPhone|"The Republican Party is racking up record amounts of small dollar donations - fueled by Trump supporters....."   @nypost  Thank you!|10-08-2017 23:58:43
Media Studio|Nobody could have done what I’ve done for #PuertoRico with so little appreciation. So much work! https://t.co/k2jAkIpfjI|10-08-2017 23:37:34
Twitter for iPhone|Bob Corker gave us the Iran Deal, &amp; that's about it. We need HealthCare, we need Tax Cuts/Reform, we need people that can get the job done!|10-08-2017 20:51:57
Twitter for iPhone|RT @opinionsamerica: @realDonaldTrump Strong administration leads to a strong response.|10-08-2017 19:51:06
Twitter for iPhone|FEMA and first responders are working hard (yet again) on Hurricane Nate. Military helping. Very much under control!|10-08-2017 19:49:32
Twitter for iPhone|I asked @VP Pence to leave stadium if any players kneeled, disrespecting our country. I am proud of him and @SecondLady Karen.|10-08-2017 18:16:16
Twitter for iPhone|...Hence, I would fully expect Corker to be a negative voice and stand in the way of our great agenda. Didn't have the guts to run!|10-08-2017 14:13:19
Twitter for iPhone|..my endorsement). He also wanted to be Secretary of State, I said "NO THANKS." He is also largely responsible for the horrendous Iran Deal!|10-08-2017 14:09:00
Twitter for iPhone|Senator Bob Corker "begged" me to endorse him for re-election in Tennessee. I said "NO" and he dropped out (said he could not win without...|10-08-2017 13:59:58
Twitter for iPhone|#LasVegasStrong #USA🇺🇸🎥https://t.co/4iGwdL4kia|10-08-2017 13:49:11
Twitter for iPhone|RT @realDonaldTrump: More and more people are suggesting that Republicans (and me) should be given Equal Time on T.V. when you look at the…|10-08-2017 12:41:44
